,symbol,baseCoin,quoteCoin,status
0,1000000BABYDOGEUSDT,1000000BABYDOGE,USDT,Trading
1,1000000CHEEMSUSDT,1000000CHEEMS,USDT,Trading
2,1000000MOGUSDT,1000000MOG,USDT,Trading
3,1000000PEIPEIUSDT,1000000PEIPEI,USDT,Trading
4,10000COQUSDT,10000COQ,USDT,Trading
5,10000ELONUSDT,10000ELON,USDT,Trading
6,10000LADYSUSDT,10000LADYS,USDT,Trading
7,10000QUBICUSDT,10000QUBIC,USDT,Trading
8,10000SATSUSDT,10000SATS,USDT,Trading
9,10000WENUSDT,10000WEN,USDT,Trading
10,10000WHYUSDT,10000WHY,USDT,Trading
11,1000APUUSDT,1000APU,USDT,Trading
12,1000BONKPERP,1000BONK,USDC,Trading
13,1000BONKUSDT,1000BONK,USDT,Trading
14,1000BTTUSDT,1000BTT,USDT,Trading
15,1000CATSUSDT,1000CATS,USDT,Trading
16,1000CATUSDT,1000CAT,USDT,Trading
17,1000FLOKIUSDT,1000FLOKI,USDT,Trading
18,1000LUNCUSDT,1000LUNC,USDT,Trading
19,1000NEIROCTOUSDT,1000NEIROCTO,USDT,Trading
20,1000PEPEPERP,1000PEPE,USDC,Trading
21,1000PEPEUSDT,1000PEPE,USDT,Trading
22,1000RATSUSDT,1000RATS,USDT,Trading
23,1000TOSHIUSDT,1000TOSHI,USDT,Trading
24,1000TURBOUSDT,1000TURBO,USDT,Trading
25,1000XECUSDT,1000XEC,USDT,Trading
26,1000XUSDT,1000X,USDT,Trading
27,1INCHUSDT,1INCH,USDT,Trading
28,A8USDT,A8,USDT,Trading
29,AAVEPERP,AAVE,USDC,Trading
30,AAVEUSDT,AAVE,USDT,Trading
31,ACEUSDT,ACE,USDT,Trading
32,ACHUSDT,ACH,USDT,Trading
33,ACTUSDT,ACT,USDT,Trading
34,ACXUSDT,ACX,USDT,Trading
35,ADAUSDT,ADA,USDT,Trading
36,AERGOUSDT,AERGO,USDT,Trading
37,AEROUSDT,AERO,USDT,Trading
38,AEVOPERP,AEVO,USDC,Trading
39,AEVOUSDT,AEVO,USDT,Trading
40,AGIUSDT,AGI,USDT,Trading
41,AGLDUSDT,AGLD,USDT,Trading
42,AGTUSDT,AGT,USDT,Trading
43,AI16ZUSDT,AI16Z,USDT,Trading
44,AIOZUSDT,AIOZ,USDT,Trading
45,AIUSDT,AI,USDT,Trading
46,AIXBTUSDT,AIXBT,USDT,Trading
47,AKTUSDT,AKT,USDT,Trading
48,ALCHUSDT,ALCH,USDT,Trading
49,ALEOUSDT,ALEO,USDT,Trading
50,ALICEUSDT,ALICE,USDT,Trading
51,ALPHAUSDT,ALPHA,USDT,Trading
52,ALTUSDT,ALT,USDT,Trading
53,ALUUSDT,ALU,USDT,Trading
54,ANIMEUSDT,ANIME,USDT,Trading
55,ANKRUSDT,ANKR,USDT,Trading
56,APEUSDT,APE,USDT,Trading
57,APEXUSDT,APEX,USDT,Trading
58,API3USDT,API3,USDT,Trading
59,APTUSDT,APT,USDT,Trading
60,ARBPERP,ARB,USDC,Trading
61,ARCUSDT,ARC,USDT,Trading
62,ARKMUSDT,ARKM,USDT,Trading
63,ARKUSDT,ARK,USDT,Trading
64,ARPAUSDT,ARPA,USDT,Trading
65,ARUSDT,AR,USDT,Trading
66,ASTRUSDT,ASTR,USDT,Trading
67,ATAUSDT,ATA,USDT,Trading
68,ATHUSDT,ATH,USDT,Trading
69,AUCTIONUSDT,AUCTION,USDT,Trading
70,AUDIOUSDT,AUDIO,USDT,Trading
71,AUSDT,A,USDT,Trading
72,AVAAIUSDT,AVAAI,USDT,Trading
73,AVAILUSDT,AVAIL,USDT,Trading
74,AVAUSDT,AVA,USDT,Trading
75,AVLUSDT,AVL,USDT,Trading
76,AWEUSDT,AWE,USDT,Trading
77,AXLUSDT,AXL,USDT,Trading
78,AXSUSDT,AXS,USDT,Trading
79,B2USDT,B2,USDT,Trading
80,B3USDT,B3,USDT,Trading
81,BABYUSDT,BABY,USDT,Trading
82,BADGERUSDT,BADGER,USDT,Trading
83,BAKEUSDT,BAKE,USDT,Trading
84,BALUSDT,BAL,USDT,Trading
85,BANANAS31USDT,BANANAS31,USDT,Trading
86,BANANAUSDT,BANANA,USDT,Trading
87,BANDUSDT,BAND,USDT,Trading
88,BANKUSDT,BANK,USDT,Trading
89,BANUSDT,BAN,USDT,Trading
90,BATUSDT,BAT,USDT,Trading
91,BBUSDT,BB,USDT,Trading
92,BCHPERP,BCH,USDC,Trading
93,BCHUSDT,BCH,USDT,Trading
94,BDXNUSDT,BDXN,USDT,Trading
95,BEAMUSDT,BEAM,USDT,Trading
96,BELUSDT,BEL,USDT,Trading
97,BERAUSDT,BERA,USDT,Trading
98,BIGTIMEUSDT,BIGTIME,USDT,Trading
99,BIOUSDT,BIO,USDT,Trading
100,BLASTUSDT,BLAST,USDT,Trading
101,BLURUSDT,BLUR,USDT,Trading
102,BMTUSDT,BMT,USDT,Trading
103,BNBUSDT,BNB,USDT,Trading
104,BNTUSDT,BNT,USDT,Trading
105,BOBAUSDT,BOBA,USDT,Trading
106,BOMEUSDT,BOME,USDT,Trading
107,BRETTUSDT,BRETT,USDT,Trading
108,BROCCOLIUSDT,BROCCOLI,USDT,Trading
109,BRUSDT,BR,USDT,Trading
110,BSVUSDT,BSV,USDT,Trading
111,BTC-26DEC25,BTC,USDC,Trading
112,BTC-26SEP25,BTC,USDC,Trading
113,BTC-27JUN25,BTC,USDC,Trading
114,BTCPERP,BTC,USDC,Trading
115,BTCUSDT,BTC,USDT,Trading
116,BTCUSDT-04JUL25,BTC,USDT,Trading
117,BTCUSDT-20JUN25,BTC,USDT,Trading
118,BTCUSDT-25JUL25,BTC,USDT,Trading
119,BTCUSDT-26DEC25,BTC,USDT,Trading
120,BTCUSDT-26SEP25,BTC,USDT,Trading
121,BTCUSDT-27JUN25,BTC,USDT,Trading
122,BTCUSDT-27MAR26,BTC,USDT,Trading
123,BTCUSDT-29AUG25,BTC,USDT,Trading
